beta_x1,beta_s_x2,beta_s_pois,sigma_s_x2,sigma_s_pois,lb_awci_sigma_s_x2,ub_awci_sigma_s_x2,lb_awci_sigma_s_pois,ub_awci_sigma_s_pois,lb_rbci_sigma_s_x2,ub_rbci_sigma_s_x2,lb_rbci_sigma_s_pois,ub_rbci_sigma_s_pois
0.9289422794016641,1.1902160958409531,0.982327687398127,-0.48,-1.52,-0.54,-0.42,-1.7,-1.38,-0.5857,-0.4148,-1.781,-1.3148
0.9940078526322536,1.0813979123668789,1.0700227083373774,-0.48,-1.62,-0.53,-0.42,-1.79,-1.49,-0.57,-0.42,-1.8,-1.48
0.9905298131360035,0.946068508333753,1.0635568418892825,-0.46,-1.49,-0.53,-0.38,-1.64,-1.39,-0.5852,-0.39,-1.63,-1.3643
0.9489569133962542,1.0273759738748531,0.9802242352918186,-0.51,-1.53,-0.58,-0.44,-1.69,-1.41,-0.6252,-0.4195,-1.7458,-1.3543
0.9124773047502335,0.9042254741930952,1.1957047127876592,-0.49,-1.52,-0.57,-0.43,-1.62,-1.43,-0.6052,-0.4,-1.68,-1.42
1.0386700639645083,0.9415443610811262,0.9919809696530181,-0.56,-1.42,-0.64,-0.5,-1.58,-1.34,-0.7005,-0.49,-1.56,-1.2695
0.9113547295456516,0.8661902637667401,1.2019520622739883,-0.44,-1.47,-0.53,-0.33,-1.61,-1.37,-0.5852,-0.3595,-1.5705,-1.31
0.8976733062900382,0.997163298907849,0.9291589221797549,-0.54,-1.48,-0.62,-0.44,-1.62,-1.37,-0.6805,-0.439,-1.6205,-1.3448
1.1845976970480774,1.2707461841363994,1.0080258009962213,-0.38,-1.8,-0.46,-0.27,-2.4,-1.53,-0.4952,-0.28,-2.21,-1.4948
0.8318752163429279,1.1961100661451907,1.012518145286641,-0.46,-1.56,-0.51,-0.39,-2.04,-1.38,-0.54,-0.3948,-1.94,-1.3648
